Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,1691,1699.150024,1666.150024,1670.849976,1665.631592,829316
2019-06-07,1651.5,1677,1645.699951,1661.199951,1656.011597,956818
2019-06-10,1664.150024,1673,1650,1657.5,1652.323242,659669
2019-06-11,1659.699951,1684.5,1655.849976,1675.900024,1670.665771,898314
2019-06-12,1675.900024,1680,1629,1650.949951,1645.793701,1287297
2019-06-13,1672.650024,1694,1655.050049,1676.150024,1670.915039,1966191
2019-06-14,1685,1686.599976,1639.650024,1645.900024,1640.759521,635071
2019-06-17,1640,1654.150024,1634.5,1642.550049,1637.420044,575284
2019-06-18,1668.949951,1674.099976,1648.050049,1662.650024,1657.457153,1208982
2019-06-19,1673.949951,1683,1590.150024,1609.150024,1604.124268,1397697
2019-06-20,1622,1623.949951,1564,1582.25,1577.308228,1758882
2019-06-21,1559.900024,1564,1531.050049,1552.099976,1547.252441,1821382
2019-06-24,1540,1572.25,1536.199951,1555.050049,1550.193237,856218
2019-06-25,1556.949951,1609,1555.349976,1603.449951,1598.442017,1209094
2019-06-26,1605,1609.849976,1571.599976,1575.800049,1570.878418,995253
2019-06-27,1575,1592.5,1568.199951,1583.349976,1578.404785,991358
2019-06-28,1598.699951,1598.699951,1551.199951,1557.949951,1553.084106,649403
2019-07-01,1560.5,1591,1560.5,1581.099976,1576.161865,743254
2019-07-02,1586.050049,1586.099976,1552.849976,1563.599976,1558.716553,700560
2019-07-03,1579.699951,1585.900024,1567,1579.449951,1574.516968,711864
2019-07-04,1582.599976,1647,1573.699951,1635.75,1630.641235,1767038
2019-07-05,1639,1661,1554.199951,1562,1557.121582,1885584
2019-07-08,1562,1578.949951,1548.949951,1571.050049,1566.143311,696543
2019-07-09,1576,1577,1508.650024,1566.300049,1561.408203,1263684
2019-07-10,1409.699951,1417,1264.849976,1398.050049,1393.683594,12143430
2019-07-11,1378.949951,1383.849976,1273.199951,1354.5,1350.269653,12110183
2019-07-12,1352,1389,1339.449951,1356.849976,1352.612183,6287519
2019-07-15,1300,1388.900024,1293.849976,1381.050049,1376.736694,4022524
2019-07-16,1384,1458.550049,1365,1445.25,1440.736206,4407022
2019-07-17,1440,1483.949951,1419.099976,1465.25,1460.673706,5998750
2019-07-18,1463,1482.300049,1445.599976,1458.900024,1454.343506,2725626
2019-07-19,1478,1488,1452,1462.949951,1458.380859,3004690
2019-07-22,1482.050049,1531,1424.75,1519.199951,1514.4552,7805623
2019-07-23,1514,1536.800049,1501,1523.400024,1518.64209,2434765
2019-07-24,1527.949951,1620,1450.199951,1595,1590.018433,7056558
2019-07-25,1610,1623.949951,1577,1584.75,1579.800415,2877671
2019-07-26,1570.099976,1606.199951,1570.099976,1582.449951,1577.507568,1469774
2019-07-29,1574,1598.699951,1560.550049,1579.949951,1575.015381,973548
2019-07-30,1579,1589.550049,1539.25,1544.550049,1539.726074,981802
2019-07-31,1534,1563.599976,1510.300049,1557.199951,1552.336426,1209983
2019-08-01,1551,1575,1539,1551.599976,1546.754028,882991
2019-08-02,1555.099976,1571.050049,1502.300049,1507.650024,1502.941284,1600641
2019-08-05,1495,1506.349976,1461.550049,1491,1486.343262,1112936
2019-08-06,1465,1519.849976,1411.650024,1492.5,1487.838623,3432460
2019-08-07,1481,1524.5,1477.75,1498.949951,1494.268433,1148261
2019-08-08,1497,1523.949951,1478.25,1518.150024,1513.408447,1072998
2019-08-09,1525,1538.849976,1512.099976,1530.949951,1526.168457,997946
2019-08-13,1531.050049,1539.800049,1498,1507.150024,1502.442871,858858
2019-08-14,1502,1631.199951,1502,1599.5,1594.504395,2854234
2019-08-16,1572,1615.349976,1572,1600.900024,1595.900024,1567364
2019-08-19,1633,1660,1610,1617.099976,1617.099976,1432384
2019-08-20,1624,1645,1605,1631.650024,1631.650024,1294430
2019-08-21,1641.5,1650,1618,1624.800049,1624.800049,722330
2019-08-22,1625,1650,1614.800049,1621.099976,1621.099976,1244084
2019-08-23,1610,1655.150024,1581.699951,1645.5,1645.5,1222090
2019-08-26,1674.449951,1687.949951,1648.099976,1680.349976,1680.349976,978810
2019-08-27,1682,1695,1616.099976,1648.599976,1648.599976,1778648
2019-08-28,1650,1665,1632.400024,1659.25,1659.25,1248510
2019-08-29,1661,1667.449951,1641,1656.25,1656.25,944637
