Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,1361.900024,1361.900024,1321.099976,1327.349976,1320.108521,7664319
2019-06-07,1325.949951,1327.25,1305.599976,1314.900024,1307.72644,6730595
2019-06-10,1320.900024,1327,1310.099976,1319.150024,1311.953247,5380148
2019-06-11,1321.849976,1334.5,1318,1329.150024,1321.898682,5253790
2019-06-12,1334.699951,1338.400024,1325,1332.150024,1324.882324,4707716
2019-06-13,1330,1334.699951,1308.650024,1327.25,1320.009033,7171189
2019-06-14,1321.900024,1325,1309.400024,1317.550049,1310.362061,6831331
2019-06-17,1320,1320,1278.5,1282.300049,1275.304321,6815554
2019-06-18,1278.900024,1287.949951,1269.099976,1281,1274.011353,7679193
2019-06-19,1286.900024,1302,1262.599976,1277.349976,1270.381226,6625604
2019-06-20,1280,1300,1278,1296.75,1289.675415,4914012
2019-06-21,1295.949951,1296,1275.550049,1279.5,1272.519531,10623098
2019-06-24,1272.150024,1276.449951,1257.099976,1262.400024,1255.512817,5150998
2019-06-25,1258.900024,1298,1254.25,1295.849976,1288.780273,6842363
2019-06-26,1291,1304.599976,1286.349976,1294.150024,1287.0896,5299942
2019-06-27,1293.150024,1296.900024,1271,1274.150024,1267.19873,11385972
2019-06-28,1277.099976,1282.849976,1248.650024,1253.099976,1246.26355,8659721
2019-07-01,1258.050049,1272.650024,1246.449951,1268.849976,1261.927612,6162080
2019-07-02,1273.949951,1281,1263.300049,1278.5,1271.525024,4638751
2019-07-03,1282.900024,1286.5,1275.050049,1282.550049,1275.552979,4026032
2019-07-04,1281.400024,1291,1280,1284,1276.994995,4275148
2019-07-05,1285.099976,1290.5,1260,1263.349976,1256.457642,4995344
2019-07-08,1258,1268.099976,1248.199951,1252.050049,1245.21936,6404544
2019-07-09,1248.949951,1283.5,1245.5,1280.099976,1273.116211,8016757
2019-07-10,1280.050049,1289.349976,1268.699951,1278.849976,1271.873047,5494315
2019-07-11,1287,1289.800049,1279.300049,1281.550049,1274.55835,3935460
2019-07-12,1283,1300,1278.050049,1280.5,1273.514038,7174054
2019-07-15,1285,1289.5,1270.349976,1276.099976,1269.138062,4873164
